Location,Asian,Black,Multiple ethnicities,Not defined,Other ethnicity,White,Total
"Bath and North East Somerset, Swindon and Wiltshire",242,14,101,35916,136,8914,45323
"Bedfordshire, Luton and Milton Keynes",2051,321,242,11118,725,24879,39336
Birmingham and Solihull,5195,180,735,28483,283,16380,51256
Black Country,4252,280,1197,23254,256,25255,54494
"Bristol, North Somerset and South Gloucestershire",378,95,255,20768,96,24953,46545
"Buckinghamshire, Oxfordshire and Berkshire West",1873,106,352,47052,360,30097,79840
Cambridgeshire and Peterborough,681,12,114,22911,136,12488,36342
Cheshire and Merseyside,547,21,244,70976,621,57222,129631
Cornwall and The Isles Of Scilly,29,0,18,21079,61,10148,31335
Coventry and Warwickshire,1648,17,200,22757,125,17079,41826
Derby and Derbyshire,1088,6,274,16933,413,36586,55300
Devon,111,9,71,47756,340,20107,68394
Dorset,107,0,47,37351,92,10304,47901
Frimley,1451,36,141,18692,143,12513,32976
Gloucestershire,281,32,103,25716,163,10257,36552
Greater Manchester,4976,237,428,69172,674,50082,125569
Hampshire and Isle Of Wight,717,19,193,60124,304,37389,98746
Herefordshire and Worcestershire,152,10,56,20293,49,18620,39180
Hertfordshire and West Essex,1710,6,361,31569,746,35592,69984
Humber and North Yorkshire,210,6,75,57210,135,30620,88256
Kent and Medway,711,60,170,48631,256,37809,87637
Lancashire and South Cumbria,2199,107,164,36127,306,58352,97255
"Leicester, Leicestershire and Rutland",4787,17,411,12604,175,32158,50152
Lincolnshire,180,0,48,23549,81,21779,45637
Mid and South Essex,506,51,212,19967,186,37801,58723
Norfolk and Waveney,119,6,37,38352,181,21236,59931
North Central London,4465,358,919,36262,1339,8563,51906
North East London,8350,271,1026,26255,665,12831,49398
North East and North Cumbria,994,18,103,73883,183,84380,159561
North West London,15084,347,2019,36711,3365,18786,76312
Northamptonshire,445,67,178,18502,161,13469,32822
Nottingham and Nottinghamshire,1078,62,369,15570,288,42624,59991
"Shropshire, Telford and Wrekin",143,20,36,14511,61,12326,27097
Somerset,38,0,30,19397,69,11780,31314
South East London,2355,462,1402,39770,1019,18274,63282
South West London,4357,605,1249,38237,867,15101,60416
South Yorkshire,938,22,192,32577,232,37644,71605
Staffordshire and Stoke,695,174,146,12841,178,49212,63246
Suffolk and North East Essex,235,51,247,24249,157,33034,57973
Surrey Heartlands,1003,44,208,33513,292,21500,56560
Sussex,756,57,170,62125,393,38019,101520
West Yorkshire,6136,108,619,47130,606,53579,108178
